0.000, 0.000, 0.000, 1.624, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.076, 0.223, 0.000, 0.011, 0.130, 0.319, 0.010, 0.000, 0.035, 0.036
0.000, 1.007, 0.000, 0.083, 0.050, 0.208, 0.000, 0.000, 0.000, 0.000
0.006, 2.641, 0.199, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.812
0.000, 0.000, 0.000, 0.000, 0.685, 0.000, 0.000, 0.039, 0.107, 1.403
0.002, 0.724, 0.000, 0.226, 0.097, 0.036, 0.348, 0.000, 0.000, 0.228
0.000, 0.362, 0.040, 0.021, 0.000, 0.109, 0.000, 0.000, 0.000, 0.906
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.456, 0.000, 0.011, 0.122, 0.737, 0.018, 0.000, 0.000, 0.000
0.000, 1.066, 0.012, 0.045, 0.000, 0.048, 0.000, 0.000, 0.332, 0.225
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.001, 0.007, 0.232, 0.017, 0.031, 0.224, 0.009, 0.027, 0.021, 0.283
0.493, 1.606, 0.061, 0.102, 0.039, 0.000, 0.000, 0.088, 0.000, 0.114
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.268, 0.000, 0.000, 1.095, 0.000, 0.000, 0.000, 0.000
0.034, 0.079, 0.120, 0.059, 0.027, 0.166, 0.001, 0.040, 0.000, 0.130
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
